Id,Descripcion,Marca,Precio Publicado,CC,Promociones,Precio Por Litro,Observaciones,Total Pack,Precio por Lata
98,Cerveza rubia Peñón del Águila honigbier 473 cc. ,Peñon del águila,$ 197.0,473.0,No tiene promociones,$ 416.49,El precio es por Lata,No tiene Pack,$ 197.0
99,Cerveza golden ale Pampa brewing lata 473 cc. ,Pampa,$ 170.0,473.0,No tiene promociones,$ 359.41,El precio es por Lata,No tiene Pack,$ 170.0
100,Cerveza rubia Peñón del Águila waldbier 473 cc. ,Peñon del águila,$ 254.1,473.0,No tiene promociones,$ 537.21,El precio es por Lata,No tiene Pack,$ 254.1
101,Cerveza Goose Island lata 6 uni x 473 cc. ,Goose Island,$ 1095.0,473.0,No tiene promociones,$ 2315.01,El precio es por Pack,6,$ 182.5
102,Cerveza honey Pampa brewing lata 473 cc. ,Pampa Brewing,$ 155.0,473.0,No tiene promociones,$ 327.7,El precio es por Lata,No tiene Pack,$ 155.0
103,Cerveza de arándano Peñon del águila 473 cc. ,Peñon del águila,$ 273.8,473.0,No tiene promociones,$ 578.86,El precio es por Lata,No tiene Pack,$ 273.8
104,Cerveza roja Rabieta ipa 710 cc. ,Rabieta,$ 265.0,710.0,No tiene promociones,$ 373.24,El precio es por Lata,No tiene Pack,$ 265.0
105,Cerveza rubia Peñón del Águila maracuyá sour 473 cc. ,Peñon del águila,$ 273.8,473.0,No tiene promociones,$ 578.86,El precio es por Lata,No tiene Pack,$ 273.8
106,Ginger beer Britvic 200 cc. ,Britvic,$ 164.05,200.0,No tiene promociones,$ 820.25,El precio es por Lata,No tiene Pack,$ 164.05
107,Cerveza ipa Chachingo lata 473 cc. ,Chachingo,$ 220.0,473.0,No tiene promociones,$ 465.12,El precio es por Lata,No tiene Pack,$ 220.0
108,Cerveza rubia Rabieta american Ipa 710 cc. ,Rabieta,$ 265.0,710.0,No tiene promociones,$ 373.24,El precio es por Lata,No tiene Pack,$ 265.0
109,Cerveza amber ale Pampa Brewing lata 473 cc. ,Pampa Brewing,$ 170.0,473.0,No tiene promociones,$ 359.41,El precio es por Lata,No tiene Pack,$ 170.0
110,Cerveza artesanal IPA Antares lata 473 cc. ,Antares,$ 223.8,473.0,No tiene promociones,$ 473.15,El precio es por Lata,No tiene Pack,$ 223.8
111,Cerveza apa Rabieta botella 710 cc. ,Rabieta,$ 265.0,710.0,No tiene promociones,$ 373.24,El precio es por Lata,No tiene Pack,$ 265.0
112,Cerveza pale ale Chachingo lata 473 cc. ,Chachingo,$ 220.0,473.0,No tiene promociones,$ 465.12,El precio es por Lata,No tiene Pack,$ 220.0
113,Cerveza artesanal kolsch Antares lata 473 cc. ,Antares,$ 262.7,473.0,No tiene promociones,$ 555.39,El precio es por Lata,No tiene Pack,$ 262.7
114,Cerveza Chachingo amber lata 473 cc. ,Chachingo,$ 220.0,473.0,No tiene promociones,$ 465.12,El precio es por Lata,No tiene Pack,$ 220.0
115,Cerveza artesanal honey Antares botella 500 cc. ,Antares,$ 325.0,500.0,No tiene promociones,$ 650.0,El precio es por Lata,No tiene Pack,$ 325.0
116,Cerveza artesanal scotch Antares botella 500 cc. ,Antares,$ 325.0,500.0,No tiene promociones,$ 650.0,El precio es por Lata,No tiene Pack,$ 325.0
117,Cerveza artesanal kirsch Antares botella 500 cc. ,Antares,$ 325.0,500.0,No tiene promociones,$ 650.0,El precio es por Lata,No tiene Pack,$ 325.0
118,Cerveza choco cake stout Peñón del Águila lata 473 cc. ,Peñon del águila,$ 272.45,473.0,No tiene promociones,$ 576.0,El precio es por Lata,No tiene Pack,$ 272.45
119,Cerveza IPA session Peñón del Águila lata 473 cc. ,Peñon del águila,$ 298.8,473.0,No tiene promociones,$ 631.71,El precio es por Lata,No tiene Pack,$ 298.8
120,Cerveza american amber Peñón del Águila lata 473 cc. ,Peñon del águila,$ 298.8,473.0,No tiene promociones,$ 631.71,El precio es por Lata,No tiene Pack,$ 298.8
